id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,HubName,HubDist
"7129300520",10/13/2014,221900,"3",1,"1180","5650",1,,NONE,Average,7 Average,"1180","0.0","1955",0,"98178",47.5112,-122.257,"1340","5650","6219",1.75033176974905
"6414100192",12/9/2014,538000,"3",2.25,"2570","7242",2,false,NONE,Average,7 Average,"2170","400.0","1951",1991,"98125",47.721,-122.319,"1690","7639","7170",1.4407784764915
"5631500400",2/25/2015,180000,"2",1,"770","10000",1,false,NONE,Average,6 Low Average,"770","0.0","1933",,"98028",47.7379,-122.233,"2720","8062","5516",1.24301837230085
"2487200875",12/9/2014,604000,"4",3,"1960","5000",1,false,NONE,Very Good,7 Average,"1050","910.0","1965",0,"98136",47.5208,-122.393,"1360","5000","6214",1.47338464602773
"1954400510",2/18/2015,510000,"3",2,"1680","8080",1,false,NONE,Average,8 Good,"1680","0.0","1987",0,"98074",47.6168,-122.045,"1800","7503","5338",0.687628272345367
"7237550310",5/12/2014,1230000,"4",4.5,"5420","101930",1,false,NONE,Average,11 Excellent,"3890","1530.0","2001",0,"98053",47.6561,-122.005,"4760","101930","5768",2.65371901658852
"1321400060",6/27/2014,257500,"3",2.25,"1715","6819",2,false,NONE,Average,7 Average,"1715",?,"1995",0,"98003",47.3097,-122.327,"2238","6819","6399",1.7471890856104
"2008000270",1/15/2015,291850,"3",1.5,"1060","9711",1,false,,Average,7 Average,"1060","0.0","1963",0,"98198",47.4095,-122.315,"1650","9711","7040",0.938587179752222
"2414600126",4/15/2015,229500,"3",1,"1780","7470",1,false,NONE,Average,7 Average,"1050","730.0","1960",0,"98146",47.5123,-122.337,"1780","8113","6047",0.828121658142159
"3793500160",3/12/2015,323000,"3",2.5,"1890","6560",2,false,NONE,Average,7 Average,"1890","0.0","2003",0,"98038",47.3684,-122.031,"2390","7570","6574",1.47617930445456
"1736800520",4/3/2015,662500,"3",2.5,"3560","9796",1,,NONE,Average,8 Good,"1860","1700.0","1965",0,"98007",47.6007,-122.145,"2210","8925","6995",1.00986463493639
"9212900260",5/27/2014,468000,"2",1,"1160","6000",1,false,NONE,Good,7 Average,"860","300.0","1942",0,"98115",47.69,-122.292,"1330","6000","6260",0.544641542215301
"114101516",5/28/2014,310000,"3",1,"1430","19901",1.5,false,NONE,Good,7 Average,"1430","0.0","1927",,"98028",47.7558,-122.229,"1780","12697","5827",1.83721052004056
"6054650070",10/7/2014,400000,"3",1.75,"1370","9680",1,false,NONE,Good,7 Average,"1370","0.0","1977",0,"98074",47.6127,-122.045,"1370","10208","5338",0.651844962545631
"1175000570",3/12/2015,530000,"5",2,"1810","4850",1.5,false,NONE,Average,7 Average,"1810","0.0","1900",0,"98107",47.67,-122.394,"1360","4850","5141",2.01402895644534
"9297300055",1/24/2015,650000,"4",3,"2950","5000",2,false,GOOD,Average,9 Better,"1980","970.0","1979",0,"98126",47.5714,-122.375,"2140","4000","6772",0.716600769555327
"1875500060",7/31/2014,395000,"3",2,"1890","14040",2,false,NONE,Average,7 Average,"1890","0.0","1994",0,"98019",47.7277,-121.962,"1890","14018","7522",4.27261527736647
"6865200140",5/29/2014,485000,"4",1,"1600","4300",1.5,false,NONE,Good,7 Average,"1600","0.0","1916",0,"98103",47.6648,-122.343,"1610","4300","5676",0.559904232488389
"16000397",12/5/2014,189000,"2",1,"1200","9850",1,false,NONE,Good,7 Average,"1200",?,"1921",0,"98002",47.3089,-122.21,"1060","5095","7006",1.19551012678221
"7983200060",4/24/2015,230000,"3",1,"1250","9774",1,false,NONE,Good,7 Average,"1250","0.0","1969",0,"98003",47.3343,-122.306,"1280","8850","6399",0.576900946961803
"6300500875",5/14/2014,385000,"4",1.75,"1620","4980",1,false,NONE,Good,7 Average,"860","760.0","1947",0,"98133",47.7025,-122.341,"1400","4980","7228",0.51595253937726
"2524049179",8/26/2014,2000000,"3",2.75,"3050","44867",1,false,EXCELLENT,Average,9 Better,"2330","720.0","1968",0,"98040",47.5316,-122.233,"4110","20336","5774",0.45149614724307
"7137970340",7/3/2014,285000,"5",2.5,"2270","6300",2,false,NONE,Average,8 Good,"2270","0.0","1995",0,"98092",47.3266,-122.169,"2240","7005","6327",0.773186800169618
"8091400200",5/16/2014,252700,"2",1.5,"1070","9643",1,,NONE,Average,7 Average,"1070","0.0","1985",,"98030",47.3533,-122.166,"1220","8386","6327",2.00127512817685
"3814700200",11/20/2014,329000,"3",2.25,"2450","6500",2,false,NONE,Good,8 Good,"2450","0.0","1985",0,"98030",47.3739,-122.172,"2200","6865","6854",1.29281789079105
"1202000200",11/3/2014,233000,"3",2,"1710","4697",1.5,false,NONE,Very Good,6 Low Average,"1710","0.0","1941",0,"98002",47.3048,-122.218,"1030","4705","7006",0.860600946579226
"1794500383",6/26/2014,937000,"3",1.75,"2450","2691",2,false,NONE,Average,8 Good,"1750","700.0","1915",,"98119",47.6386,-122.36,"1760","3573","6819",0.145746031914003
"3303700376",12/1/2014,667000,"3",1,"1400","1581",1.5,false,NONE,Very Good,8 Good,"1400","0.0","1909",0,"98112",47.6221,-122.314,"1860","3861","7227",0.405597080536097
"5101402488",6/24/2014,438000,"3",1.75,"1520","6380",1,false,NONE,Average,7 Average,"790","730.0","1948",,"98115",47.695,-122.304,"1520","6235","6260",0.971715785581145
"1873100390",3/2/2015,719000,"4",2.5,"2570","7173",2,false,NONE,Average,8 Good,"2570","0.0","2005",0,"98052",47.7073,-122.11,"2630","6026","6336",1.15641097306229
"8562750320",11/10/2014,580500,"3",2.5,"2320","3980",2,false,NONE,Average,8 Good,"2320","0.0","2003",0,"98027",47.5391,-122.07,"2580","3980","5777",2.18376130054282
"2426039314",12/1/2014,280000,"2",1.5,"1190","1265",3,false,NONE,Average,7 Average,"1190","0.0","2005",0,"98133",47.7274,-122.357,"1390","1756","7228",2.35740713856396
"461000390",6/24/2014,687500,"4",1.75,"2330","5000",1.5,false,NONE,Good,7 Average,"1510","820.0","1929",0,"98117",47.6823,-122.368,"1460","5000","5141",1.11846477387674
"7589200193",11/10/2014,535000,"3",1,"1090","3000",1.5,false,NONE,Good,8 Good,"1090","0.0","1929",0,"98117",47.6889,-122.375,"1570","5080","5141",0.578802013405689
"7955080270",12/3/2014,322500,"4",2.75,"2060","6659",1,false,NONE,Average,7 Average,"1280","780.0","1981",0,"98058",47.4276,-122.157,"2020","8720","6845",0.759875494231952
"9547205180",6/13/2014,696000,"3",2.5,"2300","3060",1.5,false,NONE,Average,8 Good,"1510","790.0","1930",2002,"98115",47.6827,-122.31,"1590","3264","6260",0.706328485181948
"9435300030",5/28/2014,550000,"4",1,"1660","34848",1,false,NONE,Poor,5 Fair,"930","730.0","1933",0,"98052",47.6621,-122.132,"2160","11467","6389",1.42103959941366
"2768000400",12/30/2014,640000,"4",2,"2360","6000",2,false,NONE,Good,8 Good,"2360","0.0","1904",0,"98107",47.6702,-122.362,"1730","4700","5676",1.42643959077291
"7895500070",2/13/2015,240000,"4",1,"1220","8075",1,false,NONE,Fair,7 Average,"890","330.0","1969",0,"98001",47.3341,-122.282,"1290","7800","5842",0.530946551897784
"2078500320",6/20/2014,605000,"4",2.5,"2620","7553",2,false,NONE,Average,8 Good,"2620","0.0","1996",0,"98056",47.5301,-122.18,"2620","11884","7224",0.761904632731934
"5547700270",7/15/2014,625000,"4",2.5,"2570","5520",2,,NONE,Average,9 Better,"2570","0.0","2000",,"98074",47.6145,-122.027,"2470","5669","5338",0.203038851324231
"7766200013",8/11/2014,775000,"4",2.25,"4220","24186",1,false,NONE,Average,8 Good,"2600","1620.0","1984",0,"98166",47.445,-122.347,"2410","30617","6572",0.885171604423694
"7203220400",7/7/2014,861990,"5",2.75,"3595","5639",2,false,NONE,Average,9 Better,"3595",?,"2014",0,"98053",47.6848,-122.016,"3625","5639","7522",0.758224711132993
"9270200160",10/28/2014,685000,"3",1,"1570","2280",2,false,NONE,Average,7 Average,"1570","0.0","1922",0,"98119",47.6413,-122.364,"1580","2640","6819",0.400650968196983
"1432701230",7/29/2014,309000,"3",1,"1280","9656",1,false,NONE,Good,6 Low Average,"920","360.0","1959",0,"98058",47.4485,-122.175,"1340","8808","6845",1.20688245010677
"8035350320",7/18/2014,488000,"3",2.5,"3160","13603",2,false,NONE,Average,8 Good,"3160","0.0","2003",,"98019",47.7443,-121.977,"3050","9232","6595",3.79649453745695
"8945200830",3/25/2015,210490,"3",1,"990","8528",1,false,NONE,Average,6 Low Average,"990","0.0","1966",0,"98023",47.3066,-122.371,"1228","8840","6692",1.23207677258511
"4178300310",7/16/2014,785000,"4",2.5,"2290","13416",2,false,NONE,Good,9 Better,"2290","0.0","1981",0,"98007",47.6194,-122.151,"2680","13685","6995",0.315033714629616
"9215400105",4/28/2015,450000,"3",1.75,"1250","5963",1,false,NONE,Good,7 Average,"1250","0.0","1953",0,"98115",47.6796,-122.301,"970","5100","6260",0.343716501200499
"822039084",3/11/2015,1350000,"3",2.5,"2753","65005",1,true,AVERAGE,Very Good,9 Better,"2165","588.0","1953",0,"98070",47.4041,-122.451,"2680","72513","6831",1.67726287017054
"5245600105",9/16/2014,228000,"3",1,"1190","9199",1,false,NONE,Average,7 Average,"1190","0.0","1955",0,"98148",47.4258,-122.322,"1190","9364","7040",2.08028252016534
"7231300125",2/17/2015,345000,"5",2.5,"3150","9134",1,false,NONE,Good,8 Good,"1640","1510.0","1966",0,"98056",47.4934,-122.189,"1990","9133","6827",0.884511678628523
"7518505990",12/31/2014,600000,"3",1.75,"1410","4080",1,false,NONE,Good,7 Average,"1000","410.0","1950",,"98117",47.6808,-122.384,"1410","4080","5141",1.15804703423791
"3626039271",2/5/2015,585000,"2",1.75,"1980","8550",1,false,NONE,Average,7 Average,"990","990.0","1981",0,"98117",47.6989,-122.369,"1480","6738","5141",0.434063430297199
"4217401195",3/3/2015,920000,"5",2.25,"2730","6000",1.5,false,NONE,Average,8 Good,"2130","600.0","1927",0,"98105",47.6571,-122.281,"2730","6000","6260",1.86115052096386
"9822700295",5/12/2014,885000,"4",2.5,"2830","5000",2,,NONE,Average,9 Better,"2830","0.0","1995",0,"98105",47.6597,-122.29,"1950","5000","6260",1.58177866485673
"9478500640",8/19/2014,292500,"4",2.5,"2250","4495",2,false,NONE,Average,7 Average,"2250","0.0","2008",,"98042",47.3663,-122.114,"2250","4500","6810",0.863550713815613
"2799800710",4/7/2015,301000,"3",2.5,"2420","4750",2,false,NONE,Average,8 Good,"2420","0.0","2003",0,"98042",47.3663,-122.122,"2690","4750","6810",0.794824789147835
"7922800400",8/27/2014,951000,"5",3.25,"3250","14342",2,false,EXCELLENT,Good,8 Good,"3250","0.0","1968",,"98008",47.588,-122.116,"2960","11044","6594",0.891679413785861
"8079040320",2/23/2015,430000,"4",3,"1850","9976",2,false,NONE,Average,8 Good,"1850","0.0","1991",0,"98059",47.5059,-122.149,"2270","8542","6827",1.6232918783256
"1516000055",12/10/2014,650000,"3",2.25,"2150","21235",1,,GOOD,Good,8 Good,"1590","560.0","1959",0,"98166",47.4336,-122.339,"2570","18900","6572",1.65685658893302
"9558200045",8/28/2014,289000,"3",1.75,"1260","8400",1,false,NONE,Average,7 Average,"1260","0.0","1954",0,"98148",47.4366,-122.335,"1290","8750","6572",1.4843014992815
"5072410070",10/21/2014,505000,"3",1.75,"2519","8690",2,,NONE,Very Good,8 Good,"2519","0.0","1973",0,"98166",47.4428,-122.344,"2500","9500","6572",1.01486256562355
"9528102996",12/7/2014,549000,"3",1.75,"1540","1044",3,false,NONE,Average,8 Good,"1540","0.0","2014",0,"98115",47.6765,-122.32,"1580","3090","6260",1.24042568083111
"1189001180",6/3/2014,425000,"3",2.25,"1660","6000",1,false,NONE,Average,7 Average,"1110","550.0","1979",0,"98122",47.6113,-122.297,"1440","4080","7227",0.857897247527396
"3253500160",11/20/2014,317625,"3",2.75,"2770","3809",1.5,false,NONE,Very Good,7 Average,"1770","1000.0","1925",0,"98144",47.5747,-122.304,"1440","4000","6850",0.818021900019288
"3394100030",9/9/2014,975000,"4",2.5,"2720","11049",2,,NONE,Average,10 Very Good,"2720","0.0","1989",0,"98004",47.5815,-122.192,"2750","11049","7592",2.207602059243
